genHour,generationPerHour,kpxGenid,reservedCapacity,tradeDay,lat,lon
1,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
9,1235.636,AH01,3396.6,2024-07-13,35.7135442,129.4757779
11,2229.014,AH01,3396.6,2024-07-13,35.7135442,129.4757779
12,1846.704,AH01,3396.6,2024-07-13,35.7135442,129.4757779
13,1954.696,AH01,3396.6,2024-07-13,35.7135442,129.4757779
14,1698.698,AH01,3396.6,2024-07-13,35.7135442,129.4757779
15,1610.714,AH01,3396.6,2024-07-13,35.7135442,129.4757779
16,855.014,AH01,3396.6,2024-07-13,35.7135442,129.4757779
17,532.726,AH01,3396.6,2024-07-13,35.7135442,129.4757779
18,431.725,AH01,3396.6,2024-07-13,35.7135442,129.4757779
19,219.84,AH01,3396.6,2024-07-13,35.7135442,129.4757779
2,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
20,15.909,AH01,3396.6,2024-07-13,35.7135442,129.4757779
21,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
22,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
23,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
24,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
3,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
4,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
5,0,AH01,3396.6,2024-07-13,35.7135442,129.4757779
6,1.446,AH01,3396.6,2024-07-13,35.7135442,129.4757779
7,171.388,AH01,3396.6,2024-07-13,35.7135442,129.4757779
8,565.509,AH01,3396.6,2024-07-13,35.7135442,129.4757779
10,1604.687,AH01,3396.6,2024-07-13,35.7135442,129.4757779
1,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
9,82.8,AJ85,986.31,2024-07-13,33.3457343,126.2870553
11,68.4,AJ85,986.31,2024-07-13,33.3457343,126.2870553
12,62.64,AJ85,986.31,2024-07-13,33.3457343,126.2870553
13,55.44,AJ85,986.31,2024-07-13,33.3457343,126.2870553
14,87.84,AJ85,986.31,2024-07-13,33.3457343,126.2870553
15,267.84,AJ85,986.31,2024-07-13,33.3457343,126.2870553
16,69.84,AJ85,986.31,2024-07-13,33.3457343,126.2870553
17,30.96,AJ85,986.31,2024-07-13,33.3457343,126.2870553
18,67.68,AJ85,986.31,2024-07-13,33.3457343,126.2870553
19,56.16,AJ85,986.31,2024-07-13,33.3457343,126.2870553
2,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
20,9.36,AJ85,986.31,2024-07-13,33.3457343,126.2870553
21,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
22,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
23,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
24,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
3,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
4,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
5,0,AJ85,986.31,2024-07-13,33.3457343,126.2870553
6,1.44,AJ85,986.31,2024-07-13,33.3457343,126.2870553
7,15.12,AJ85,986.31,2024-07-13,33.3457343,126.2870553
8,33.84,AJ85,986.31,2024-07-13,33.3457343,126.2870553
10,82.8,AJ85,986.31,2024-07-13,33.3457343,126.2870553
1,0,AK65,428.22,2024-07-13,33.36110809,126.2870227
9,33.8,AK65,428.22,2024-07-13,33.36110809,126.2870227
11,31.8,AK65,428.22,2024-07-13,33.36110809,126.2870227
12,28,AK65,428.22,2024-07-13,33.36110809,126.2870227
13,23.4,AK65,428.22,2024-07-13,33.36110809,126.2870227
14,37.4,AK65,428.22,2024-07-13,33.36110809,126.2870227
15,116,AK65,428.22,2024-07-13,33.36110809,126.2870227
16,31,AK65,428.22,2024-07-13,33.36110809,126.2870227
17,15.6,AK65,428.22,2024-07-13,33.36110809,126.2870227
18,32,AK65,428.22,2024-07-13,33.36110809,126.2870227
19,24.8,AK65,428.22,2024-07-13,33.36110809,126.2870227
2,0,AK65,428.22,2024-07-13,33.36110809,126.2870227
20,4.2,AK65,428.22,2024-07-13,33.36110809,126.2870227
21,0,AK65,428.22,2024-07-13,33.36110809,126.2870227
22,0,AK65,428.22,2024-07-13,33.36110809,126.2870227
23,0,AK65,428.22,2024-07-13,33.36110809,126.2870227
24,0,AK65,428.22,2024-07-13,33.36110809,126.2870227
