TM,STN,TA,RN,WS,WD,HM,PV,TD,PA,PS,SS,SI,SD_TOT,SD_HR3,CA_TOT,CA_MID,VS,TS,lat,lon,alt
2025-01-10 00:00:00,90,-8.8,,2.9,25.0,29.0,0.9,-23.6,1022.8,1025.1,,,,,2.0,0.0,4091.0,-7.9,38.2509,128.5647,17.53
2025-01-10 00:00:00,93,-17.1,,0.2,0.0,62.0,1.0,-22.6,1019.4,1032.5,,,4.0,,0.0,0.0,2000.0,-5.2,37.9474,127.7544,95.78
2025-01-10 00:00:00,95,-18.9,,0.5,36.0,80.0,1.1,-21.4,1011.7,1033.0,,,4.5,,10.0,0.0,3614.0,-2.5,38.1479,127.3042,155.48
2025-01-10 00:00:00,98,-13.9,,0.1,0.0,60.0,1.3,-20.0,1016.6,1032.2,,,2.7,,10.0,0.0,1805.0,-4.0,37.9019,127.0607,115.62
2025-01-10 00:00:00,99,-15.5,,0.9,16.0,69.0,1.3,-19.9,1028.5,1032.7,,,,,10.0,0.0,2349.0,-7.3,37.8859,126.7665,29.42
2025-01-10 00:00:00,100,-19.8,,2.4,32.0,61.0,0.8,-25.4,931.1,1032.3,,,0.6,,10.0,1.0,2409.0,-9.2,37.6869,128.7587,842.52
2025-01-10 00:00:00,101,-16.4,,0.0,0.0,74.0,1.3,-19.9,1021.3,1031.6,,,2.1,,9.0,0.0,1926.0,-7.3,37.9026,127.7357,76.47
2025-01-10 00:00:00,102,-5.2,0.0,10.7,36.0,,,-99.0,1027.3,1032.0,,,0.2,0.0,9.0,9.0,2281.0,-5.8,37.9661,124.6305,144.86
2025-01-10 00:00:00,104,-9.8,,2.6,18.0,33.0,1.0,-23.0,1015.0,1024.9,,,,,0.0,0.0,3175.0,-9.7,37.8046,128.8554,75.24
2025-01-10 00:00:00,105,-8.8,,3.7,25.0,34.0,1.1,-21.8,1021.9,1025.5,,,,,0.0,0.0,3344.0,-11.3,37.7515,128.891,27.12
2025-01-10 00:00:00,106,-10.0,,1.8,18.0,33.0,0.9,-23.2,1020.1,1025.5,,,,,0.0,0.0,1839.0,-10.0,37.5071,129.1243,40.46
2025-01-10 00:00:00,108,-11.6,,0.7,32.0,45.0,1.1,-21.1,1019.4,1030.8,,,,,0.0,0.0,3047.0,-7.6,37.5714,126.9658,85.5
2025-01-10 00:00:00,112,-10.8,,4.0,32.0,42.0,1.1,-21.2,1022.2,1031.4,,,,,0.0,0.0,3107.0,-5.9,37.4776,126.6244,68.15
2025-01-10 00:00:00,114,-11.7,,1.0,25.0,44.0,1.1,-21.5,1011.6,1031.5,,,,,10.0,0.0,2798.0,-8.2,37.3375,127.9466,150.11
2025-01-10 00:00:00,115,-4.2,0.1,2.4,25.0,84.0,3.8,-6.5,993.4,1021.6,,,6.8,0.0,9.0,9.0,1018.0,0.0,37.4813,130.8986,222.8
2025-01-10 00:00:00,119,-11.9,,1.2,32.0,42.0,1.0,-22.2,1026.3,1031.6,,,,,0.0,0.0,4907.0,,37.2723,126.9853,34.84
2025-01-10 00:00:00,121,-13.5,,1.0,29.0,47.0,1.0,-22.4,999.3,1031.3,,,,,10.0,0.0,2818.0,-10.9,37.1813,128.4574,240.54
2025-01-10 00:00:00,127,-12.7,,1.4,23.0,41.0,0.9,-23.2,1015.9,1031.3,,,,,0.0,0.0,2722.0,-6.9,36.9705,127.9525,114.85
2025-01-10 00:00:00,129,-10.6,,0.8,9.0,69.0,1.9,-15.1,1028.5,1031.9,,,1.3,,9.0,9.0,2697.0,-4.7,36.7766,126.4939,25.25
2025-01-10 00:00:00,130,-9.6,,3.3,27.0,30.0,0.9,-23.9,1018.7,1025.2,,,,,0.0,0.0,4914.0,-8.1,36.9918,129.4128,48.98
2025-01-10 00:00:00,131,-11.2,,1.4,27.0,39.0,1.0,-22.4,1024.1,1031.9,,,0.5,,0.0,0.0,3042.0,-3.3,36.6392,127.4407,58.7
2025-01-10 00:00:00,133,-12.2,,1.1,25.0,51.0,1.2,-20.2,1023.1,1032.2,,,0.1,,0.0,0.0,2993.0,-7.8,36.372,127.3721,67.79
2025-01-10 00:00:00,135,-13.4,,5.9,27.0,48.0,1.0,-22.1,998.9,1031.4,,,1.0,,10.0,0.0,2996.0,-4.0,36.2202,127.9946,244.73
2025-01-10 00:00:00,136,-12.4,,1.9,27.0,40.0,0.9,-23.2,1011.9,1030.7,,,,,0.0,0.0,3547.0,-11.7,36.573,128.7073,139.39
